date,minTemp
2020-08-25,17.4
2020-08-26,15.2
2020-08-27,16.6
2020-08-28,16.8
2020-08-29,19.5
2020-08-30,21.6
2020-08-31,20.4
2020-09-01,16.5
2020-09-02,14.0
2020-09-03,14.5
2020-09-04,13.5
2020-09-05,13.6
2020-09-06,14.5
2020-09-07,17.1
2020-09-08,17.1
2020-09-09,16.1
2020-09-10,15.5
2020-09-11,15.2
2020-09-12,18.9
2020-09-13,18.8
2020-09-14,16.3
2020-09-15,16.9
2020-09-16,19.0
2020-09-17,18.3
2020-09-18,13.8
2020-09-19,10.5
2020-09-20,12.6
2020-09-21,13.8
2020-09-22,15.8
2020-09-23,16.8
2020-09-24,16.0
2020-09-25,18.2
2020-09-26,13.0
2020-09-27,10.3
2020-09-28,14.7
2020-09-29,12.8
2020-09-30,11.5
2020-10-01,12.3
2020-10-02,13.3
2020-10-03,17.5
2020-10-04,17.2
2020-10-05,16.3
2020-10-06,15.2
2020-10-07,13.1
2020-10-08,12.3
2020-10-09,8.9
2020-10-10,8.8
2020-10-11,9.2
2020-10-12,8.4
2020-10-13,6.9
2020-10-14,7.1
2020-10-15,13.0
2020-10-16,9.3
2020-10-17,6.6
2020-10-18,5.1
2020-10-19,3.8
2020-10-20,3.1
2020-10-21,7.6
2020-10-22,6.0
2020-10-23,4.7
2020-10-24,9.9
2020-10-25,10.8
2020-10-26,9.6
2020-10-27,9.6
2020-10-28,9.3
2020-10-29,7.7
2020-10-30,8.9
2020-10-31,7.5
2020-11-01,5.1
2020-11-02,8.4
2020-11-03,12.1
2020-11-04,10.5
2020-11-05,10.1
2020-11-06,6.5
2020-11-07,5.2
2020-11-08,4.6
2020-11-09,4.5
2020-11-10,5.5
2020-11-11,5.4
2020-11-12,5.6
2020-11-13,6.0
2020-11-14,4.8
2020-11-15,5.0
2020-11-16,5.0
2020-11-17,7.1
2020-11-18,5.8
2020-11-19,5.4
2020-11-20,4.3
2020-11-21,1.3
2020-11-22,-0.7
2020-11-23,-1.1
2020-11-24,1.4
2020-11-25,0.0
2020-11-26,0.2
2020-11-27,-0.1
2020-11-28,0.6
2020-11-29,1.0
2020-11-30,0.9
2020-12-01,-2.3
2020-12-02,-1.6
2020-12-03,0.5
2020-12-04,2.6
2020-12-05,5.4
2020-12-06,5.7
2020-12-07,2.4
2020-12-08,1.2
2020-12-09,1.3
2020-12-10,0.3
2020-12-11,0.7
2020-12-12,0.7
2020-12-13,2.5
2020-12-14,2.8
2020-12-15,-0.5
2020-12-16,-0.8
2020-12-17,-1.0
2020-12-18,1.3
2020-12-19,1.9
2020-12-20,-0.5
2020-12-21,3.1
2020-12-22,2.8
2020-12-23,5.2
2020-12-24,6.3
2020-12-25,5.6
2020-12-26,1.1
2020-12-27,0.6
2020-12-28,3.0
2020-12-29,8.4
2020-12-30,7.9
2020-12-31,3.6
2021-01-01,0.1
2021-01-02,3.2
2021-01-03,5.6
2021-01-04,6.4
2021-01-05,4.0
2021-01-06,4.2
2021-01-07,3.1
2021-01-08,1.1
2021-01-09,-2.0
2021-01-10,-0.1
2021-01-11,-1.0
2021-01-12,-2.9
2021-01-13,-5.1
2021-01-14,-3.2
2021-01-15,-4.2
2021-01-16,-11.0
2021-01-17,-8.8
2021-01-18,-10.7
2021-01-19,-4.1
2021-01-20,-0.2
2021-01-21,2.9
2021-01-22,5.9
2021-01-23,8.1
2021-01-24,6.8
2021-01-25,1.3
2021-01-26,-0.9
2021-01-27,-2.3
2021-01-28,-2.6
2021-01-29,1.8
2021-01-30,4.8
2021-01-31,4.4
2021-02-01,0.2
2021-02-02,-0.9
2021-02-03,1.2
2021-02-04,7.4
2021-02-05,6.1
2021-02-06,4.1
2021-02-07,7.0
2021-02-08,5.0
2021-02-09,3.8
2021-02-10,4.2
2021-02-11,-3.4
2021-02-12,-7.0
2021-02-13,-7.5
2021-02-14,-7.6
2021-02-15,-4.9
2021-02-16,-4.9
2021-02-17,-2.1
2021-02-18,1.6
2021-02-19,0.5
2021-02-20,2.1
2021-02-21,1.0
2021-02-22,-0.4
2021-02-23,2.7
2021-02-24,2.8
2021-02-25,2.6
2021-02-26,3.6
2021-02-27,3.8
2021-02-28,1.7
2021-03-01,0.6
2021-03-02,-0.2
2021-03-03,0.1
2021-03-04,1.1
2021-03-05,4.3
2021-03-06,-1.6
2021-03-07,-3.4
2021-03-08,-3.9
2021-03-09,-2.9
2021-03-10,0.3
2021-03-11,-2.5
2021-03-12,2.8
2021-03-13,5.6
2021-03-14,6.8
2021-03-15,3.7
2021-03-16,3.4
2021-03-17,1.8
2021-03-18,-0.1
2021-03-19,-1.0
2021-03-20,-2.1
2021-03-21,-2.2
2021-03-22,0.2
2021-03-23,-1.3
2021-03-24,-0.7
2021-03-25,-2.6
2021-03-26,-0.5
2021-03-27,0.9
2021-03-28,6.9
2021-03-29,2.8
2021-03-30,5.1
2021-03-31,5.9
2021-04-01,7.3
2021-04-02,10.7
2021-04-03,4.3
2021-04-04,2.7
2021-04-05,1.1
2021-04-06,0.9
2021-04-07,0.2
2021-04-08,-1.3
2021-04-09,-0.8
2021-04-10,2.3
2021-04-11,4.7
2021-04-12,7.6
2021-04-13,3.9
2021-04-14,1.9
2021-04-15,1.3
2021-04-16,0.4
2021-04-17,1.2
2021-04-18,4.0
2021-04-19,1.1
2021-04-20,5.4
2021-04-21,5.8
2021-04-22,6.2
2021-04-23,5.7
2021-04-24,3.7
2021-04-25,3.2
2021-04-26,5.4
2021-04-27,7.7
2021-04-28,7.8
2021-04-29,7.8
2021-04-30,12.8
2021-05-01,14.0
2021-05-02,15.5
2021-05-03,9.2
2021-05-04,7.1
2021-05-05,13.2
2021-05-06,10.0
2021-05-07,11.1
2021-05-08,8.5
2021-05-09,6.7
2021-05-10,12.9
2021-05-11,14.4
2021-05-12,12.7
2021-05-13,11.3
2021-05-14,12.4
2021-05-15,10.9
2021-05-16,13.5
2021-05-17,11.1
2021-05-18,10.7
2021-05-19,11.1
2021-05-20,10.4
2021-05-21,8.7
2021-05-22,13.1
2021-05-23,12.1
2021-05-24,10.9
2021-05-25,13.7
2021-05-26,12.3
2021-05-27,12.2
2021-05-28,14.1
2021-05-29,10.6
2021-05-30,11.5
2021-05-31,10.5
2021-06-01,10.1
2021-06-02,9.2
2021-06-03,9.5
2021-06-04,12.6
2021-06-05,11.5
2021-06-06,15.2
2021-06-07,15.5
2021-06-08,14.2
2021-06-09,14.4
2021-06-10,16.3
2021-06-11,15.1
2021-06-12,15.4
2021-06-13,16.3
2021-06-14,13.2
2021-06-15,11.1
2021-06-16,15.2
2021-06-17,16.9
2021-06-18,18.5
2021-06-19,19.1
2021-06-20,18.3
2021-06-21,18.8
2021-06-22,20.9
2021-06-23,22.8
2021-06-24,24.4
2021-06-25,21.7
2021-06-26,20.4
2021-06-27,19.0
2021-06-28,18.1
2021-06-29,21.8
2021-06-30,24.1
2021-07-01,19.9
2021-07-02,17.7
2021-07-03,16.9
2021-07-04,17.6
2021-07-05,19.4
2021-07-06,19.4
2021-07-07,19.7
2021-07-08,23.1
2021-07-09,25.1
2021-07-10,21.6
2021-07-11,20.5
2021-07-12,21.1
2021-07-13,22.7
2021-07-14,26.4
2021-07-15,22.3
2021-07-16,19.7
2021-07-17,18.7
2021-07-18,19.7
2021-07-19,18.3
2021-07-20,19.4
2021-07-21,16.6
2021-07-22,16.5
2021-07-23,17.4
2021-07-24,18.3
2021-07-25,20.3
2021-07-26,22.6
2021-07-27,22.3
2021-07-28,21.5
2021-07-29,23.2
2021-07-30,21.3
2021-07-31,21.1
2021-08-01,20.3
2021-08-02,20.2
2021-08-03,19.4
2021-08-04,19.3
2021-08-05,20.9
2021-08-06,16.8
2021-08-07,16.0
2021-08-08,19.9
2021-08-09,22.7
2021-08-10,21.2
2021-08-11,20.6
2021-08-12,19.2
2021-08-13,18.5
2021-08-14,20.9
2021-08-15,20.7
2021-08-16,24.4
2021-08-17,17.7
2021-08-18,16.1
2021-08-19,13.2
2021-08-20,14.7
2021-08-21,15.7
2021-08-22,16.6
2021-08-23,17.3
2021-08-24,17.5
2021-08-25,14.6
2021-08-26,13.3
2021-08-27,15.0
2021-08-28,13.2
2021-08-29,13.6
2021-08-30,11.8
2021-08-31,12.2
2021-09-01,14.2
2021-09-02,12.6
2021-09-03,12.1
2021-09-04,13.9
2021-09-05,12.1
