system:index,b1,b2,b3,.geo
69,36,135,141,"{""type"":""Point"",""coordinates"":[20.306214719741526,44.82573212180039]}"
70,36,135,141,"{""type"":""Point"",""coordinates"":[20.282048546241562,44.81245358203235]}"
71,65,1,87,"{""type"":""Point"",""coordinates"":[20.52105894205423,44.82337386333633]}"
72,69,1,84,"{""type"":""Point"",""coordinates"":[20.50290174431858,44.82656284203348]}"
73,120,167,44,"{""type"":""Point"",""coordinates"":[20.522336639969566,44.77435281062098]}"
74,72,172,119,"{""type"":""Point"",""coordinates"":[20.489640502270298,44.74487087444208]}"
75,106,201,96,"{""type"":""Point"",""coordinates"":[20.307426616935654,44.88658911538913]}"
76,224,214,29,"{""type"":""Point"",""coordinates"":[20.435193520226772,44.83245024770597]}"
77,42,116,141,"{""type"":""Point"",""coordinates"":[20.562482511753856,44.882960396195855]}"
78,246,143,40,"{""type"":""Point"",""coordinates"":[20.451751210309464,44.808454222241245]}"
79,36,135,141,"{""type"":""Point"",""coordinates"":[20.343999606330094,44.81758547991786]}"
80,42,116,141,"{""type"":""Point"",""coordinates"":[20.558485964093247,44.830821379472894]}"
81,36,135,141,"{""type"":""Point"",""coordinates"":[20.34608033499219,44.743465085473346]}"
82,112,167,39,"{""type"":""Point"",""coordinates"":[20.444759960321605,44.77936223370045]}"
83,36,135,141,"{""type"":""Point"",""coordinates"":[20.344859571071826,44.74563630901966]}"
84,40,170,128,"{""type"":""Point"",""coordinates"":[20.502704949112626,44.74470522876989]}"
85,36,135,141,"{""type"":""Point"",""coordinates"":[20.368543407108454,44.7408372689463]}"
86,36,135,141,"{""type"":""Point"",""coordinates"":[20.30894095060386,44.74457511703104]}"
87,107,203,92,"{""type"":""Point"",""coordinates"":[20.31993532897425,44.79417704273431]}"
88,42,116,141,"{""type"":""Point"",""coordinates"":[20.569493428843142,44.88711028085936]}"
89,69,1,84,"{""type"":""Point"",""coordinates"":[20.548140864312618,44.837459586654674]}"
90,222,213,48,"{""type"":""Point"",""coordinates"":[20.407665440545905,44.80481215606368]}"
91,43,150,128,"{""type"":""Point"",""coordinates"":[20.289742944304013,44.889514896348444]}"
92,36,135,141,"{""type"":""Point"",""coordinates"":[20.556746251942595,44.87658578368772]}"
93,125,206,79,"{""type"":""Point"",""coordinates"":[20.446157478600025,44.81131703554228]}"
94,37,172,131,"{""type"":""Point"",""coordinates"":[20.535674044279126,44.747428140896375]}"
95,93,169,69,"{""type"":""Point"",""coordinates"":[20.458832267512825,44.776394283787425]}"
96,36,135,141,"{""type"":""Point"",""coordinates"":[20.318947979533707,44.791887300583205]}"
97,53,97,142,"{""type"":""Point"",""coordinates"":[20.46738364895049,44.738235116913444]}"
98,32,136,146,"{""type"":""Point"",""coordinates"":[20.485761873966517,44.86178197370599]}"
99,76,177,117,"{""type"":""Point"",""coordinates"":[20.47257358066153,44.76060847433552]}"
100,62,79,119,"{""type"":""Point"",""coordinates"":[20.531398758435135,44.753643427615266]}"
101,36,135,141,"{""type"":""Point"",""coordinates"":[20.347416618894233,44.82929966826345]}"
102,61,179,110,"{""type"":""Point"",""coordinates"":[20.54635611542877,44.77538448451054]}"
103,37,134,143,"{""type"":""Point"",""coordinates"":[20.279915882089846,44.8226242990563]}"
104,36,135,141,"{""type"":""Point"",""coordinates"":[20.299371259097295,44.76282745324668]}"
105,36,135,141,"{""type"":""Point"",""coordinates"":[20.28308932699208,44.846935576963965]}"
106,100,164,21,"{""type"":""Point"",""coordinates"":[20.41862164070914,44.76598006993888]}"
107,64,187,114,"{""type"":""Point"",""coordinates"":[20.457455374967378,44.73139978370463]}"
108,46,149,85,"{""type"":""Point"",""coordinates"":[20.54647879206535,44.78615639443163]}"
109,38,134,139,"{""type"":""Point"",""coordinates"":[20.301553434931865,44.88179026604902]}"
110,37,134,140,"{""type"":""Point"",""coordinates"":[20.441849489761765,44.75711591494593]}"
111,68,3,85,"{""type"":""Point"",""coordinates"":[20.446273654787287,44.8297318661516]}"
112,104,203,93,"{""type"":""Point"",""coordinates"":[20.539501177989777,44.789232338669414]}"
113,36,135,141,"{""type"":""Point"",""coordinates"":[20.4807253867826,44.88810290870907]}"
114,36,135,141,"{""type"":""Point"",""coordinates"":[20.43210122778281,44.86824642383467]}"
115,69,1,84,"{""type"":""Point"",""coordinates"":[20.558856504019488,44.844007616467806]}"
116,228,215,32,"{""type"":""Point"",""coordinates"":[20.373772998594266,44.800661971528854]}"
117,36,135,141,"{""type"":""Point"",""coordinates"":[20.282619378804537,44.80411163428091]}"
118,246,143,48,"{""type"":""Point"",""coordinates"":[20.41624032536556,44.82800397662051]}"
119,109,197,100,"{""type"":""Point"",""coordinates"":[20.41585135395091,44.744864552762515]}"
120,152,217,65,"{""type"":""Point"",""coordinates"":[20.35233305101494,44.833066949872105]}"
121,216,233,199,"{""type"":""Point"",""coordinates"":[20.3391372590704,44.88555728490032]}"
122,151,215,68,"{""type"":""Point"",""coordinates"":[20.501080105017287,44.84585114621262]}"
123,221,213,25,"{""type"":""Point"",""coordinates"":[20.393804322508576,44.84791268423441]}"
124,123,183,63,"{""type"":""Point"",""coordinates"":[20.336942623070577,44.85601584299268]}"
125,36,135,141,"{""type"":""Point"",""coordinates"":[20.345351855435506,44.74609820974221]}"
126,71,186,109,"{""type"":""Point"",""coordinates"":[20.460808140268416,44.75356321183841]}"
127,36,135,141,"{""type"":""Point"",""coordinates"":[20.400165571969556,44.868675047762686]}"
128,176,165,20,"{""type"":""Point"",""coordinates"":[20.512307019328674,44.81469113019368]}"
129,36,135,141,"{""type"":""Point"",""coordinates"":[20.34256650408292,44.781999226671495]}"
130,40,134,143,"{""type"":""Point"",""coordinates"":[20.40869384849833,44.890271762735686]}"
131,33,174,131,"{""type"":""Point"",""coordinates"":[20.5138975876895,44.745207036825555]}"
132,36,135,141,"{""type"":""Point"",""coordinates"":[20.301876242162397,44.75150048251864]}"
133,220,211,43,"{""type"":""Point"",""coordinates"":[20.406496568704778,44.815605190168974]}"
