system:index,b1,b2,b3,.geo
302,41,116,143,"{""type"":""Point"",""coordinates"":[20.380319279524503,44.76276321976809]}"
303,29,138,70,"{""type"":""Point"",""coordinates"":[20.572315191607125,44.75807586212205]}"
304,77,158,98,"{""type"":""Point"",""coordinates"":[20.347159771763714,44.83251637058133]}"
305,34,136,140,"{""type"":""Point"",""coordinates"":[20.34821411672429,44.740936471980405]}"
306,32,153,137,"{""type"":""Point"",""coordinates"":[20.44950609301966,44.88225441133943]}"
307,36,135,141,"{""type"":""Point"",""coordinates"":[20.32372327600401,44.7519646071605]}"
308,38,170,139,"{""type"":""Point"",""coordinates"":[20.42843379264077,44.77980480220333]}"
309,147,202,77,"{""type"":""Point"",""coordinates"":[20.504529417104074,44.81272549351396]}"
310,138,213,74,"{""type"":""Point"",""coordinates"":[20.494687921395087,44.76899934698872]}"
311,30,141,138,"{""type"":""Point"",""coordinates"":[20.4308210439609,44.776732421861524]}"
312,36,135,141,"{""type"":""Point"",""coordinates"":[20.30660966272651,44.866824634565674]}"
313,36,135,141,"{""type"":""Point"",""coordinates"":[20.31581828549771,44.84638119156208]}"
314,38,136,140,"{""type"":""Point"",""coordinates"":[20.516086761291838,44.86233022042861]}"
315,42,124,140,"{""type"":""Point"",""coordinates"":[20.543496770529185,44.84344339102147]}"
316,69,1,84,"{""type"":""Point"",""coordinates"":[20.43990033739687,44.83993310466801]}"
317,151,216,64,"{""type"":""Point"",""coordinates"":[20.392260900527763,44.77812623253415]}"
318,67,3,83,"{""type"":""Point"",""coordinates"":[20.474200252723442,44.82807123540862]}"
319,36,135,141,"{""type"":""Point"",""coordinates"":[20.348029865129668,44.82879635528498]}"
320,199,113,36,"{""type"":""Point"",""coordinates"":[20.396992570313543,44.81102449710547]}"
321,151,216,64,"{""type"":""Point"",""coordinates"":[20.372559952542304,44.764339811275654]}"
322,36,135,141,"{""type"":""Point"",""coordinates"":[20.458340213415905,44.85514894573387]}"
323,37,134,143,"{""type"":""Point"",""coordinates"":[20.34877100226622,44.81127111369561]}"
324,65,185,121,"{""type"":""Point"",""coordinates"":[20.498675566770956,44.74946236204985]}"
325,53,97,142,"{""type"":""Point"",""coordinates"":[20.510406462708616,44.75242472164854]}"
326,199,188,44,"{""type"":""Point"",""coordinates"":[20.48621803399559,44.78110501935333]}"
327,7,129,88,"{""type"":""Point"",""coordinates"":[20.546310242890645,44.78804895476657]}"
328,69,1,84,"{""type"":""Point"",""coordinates"":[20.540422983890704,44.83197860458837]}"
329,188,221,220,"{""type"":""Point"",""coordinates"":[20.403488037870485,44.88671146728456]}"
330,95,185,83,"{""type"":""Point"",""coordinates"":[20.46059725066872,44.7735428705484]}"
331,36,135,141,"{""type"":""Point"",""coordinates"":[20.31005299563577,44.87186531782285]}"
332,69,0,89,"{""type"":""Point"",""coordinates"":[20.42550156859946,44.829537782828595]}"
333,36,133,145,"{""type"":""Point"",""coordinates"":[20.45660440884337,44.744438569019636]}"
334,154,202,61,"{""type"":""Point"",""coordinates"":[20.49247452942202,44.78954786406902]}"
335,112,203,77,"{""type"":""Point"",""coordinates"":[20.42520532574911,44.73532016761385]}"
336,65,155,95,"{""type"":""Point"",""coordinates"":[20.524430020662386,44.78415090561643]}"
337,129,120,6,"{""type"":""Point"",""coordinates"":[20.4896563862029,44.77784213791288]}"
338,36,135,141,"{""type"":""Point"",""coordinates"":[20.526705966070132,44.87193811971684]}"
339,35,132,140,"{""type"":""Point"",""coordinates"":[20.552446626256557,44.85225483260341]}"
340,35,134,143,"{""type"":""Point"",""coordinates"":[20.491724024113893,44.850392888240556]}"
341,36,135,141,"{""type"":""Point"",""coordinates"":[20.28194226782469,44.757586915239315]}"
342,226,214,32,"{""type"":""Point"",""coordinates"":[20.39130464568272,44.83617857903783]}"
343,154,214,65,"{""type"":""Point"",""coordinates"":[20.49676952714024,44.88222591385421]}"
344,37,135,142,"{""type"":""Point"",""coordinates"":[20.535983074932474,44.86903467320685]}"
345,44,102,139,"{""type"":""Point"",""coordinates"":[20.556264880285813,44.821919326931045]}"
346,71,1,81,"{""type"":""Point"",""coordinates"":[20.39916395978853,44.78556911987269]}"
347,151,216,65,"{""type"":""Point"",""coordinates"":[20.438145087410945,44.843917928484316]}"
348,61,77,137,"{""type"":""Point"",""coordinates"":[20.564038175104592,44.77405410755139]}"
349,139,71,19,"{""type"":""Point"",""coordinates"":[20.407413013029597,44.80564892359415]}"
350,219,213,51,"{""type"":""Point"",""coordinates"":[20.516666422552575,44.812313076340395]}"
351,61,77,137,"{""type"":""Point"",""coordinates"":[20.570006630582903,44.790452393346435]}"
352,74,179,116,"{""type"":""Point"",""coordinates"":[20.524072931634148,44.78334449090386]}"
353,36,135,141,"{""type"":""Point"",""coordinates"":[20.306399529947143,44.767629869554845]}"
354,36,135,141,"{""type"":""Point"",""coordinates"":[20.280775964328697,44.87108778239831]}"
355,134,121,0,"{""type"":""Point"",""coordinates"":[20.38519144925546,44.81449695364196]}"
356,53,97,142,"{""type"":""Point"",""coordinates"":[20.56466609013737,44.7837101920196]}"
357,159,208,73,"{""type"":""Point"",""coordinates"":[20.365180248655868,44.83879189677648]}"
358,223,218,21,"{""type"":""Point"",""coordinates"":[20.37319522635023,44.773500326300024]}"
359,36,135,141,"{""type"":""Point"",""coordinates"":[20.44245219470909,44.8812963736425]}"
360,40,164,135,"{""type"":""Point"",""coordinates"":[20.29095364767265,44.756032580444945]}"
361,249,170,8,"{""type"":""Point"",""coordinates"":[20.289069515472104,44.77449351096976]}"
362,223,217,26,"{""type"":""Point"",""coordinates"":[20.406003304828207,44.762115355225916]}"
363,36,134,141,"{""type"":""Point"",""coordinates"":[20.486137127758173,44.8598119709781]}"
364,36,135,141,"{""type"":""Point"",""coordinates"":[20.29038538647239,44.85235707771304]}"
365,254,142,40,"{""type"":""Point"",""coordinates"":[20.496457955832536,44.82032780188899]}"
366,72,1,81,"{""type"":""Point"",""coordinates"":[20.482064821750637,44.82743611324545]}"
367,34,137,140,"{""type"":""Point"",""coordinates"":[20.311963909116294,44.80617247348613]}"
368,233,215,43,"{""type"":""Point"",""coordinates"":[20.406979197107997,44.779019155398295]}"
369,156,219,58,"{""type"":""Point"",""coordinates"":[20.404104095202996,44.86026016786972]}"
370,49,100,140,"{""type"":""Point"",""coordinates"":[20.536710751070387,44.735172041090316]}"
371,42,117,136,"{""type"":""Point"",""coordinates"":[20.380423049756295,44.76279894978784]}"
372,232,133,37,"{""type"":""Point"",""coordinates"":[20.418974844661687,44.8224682219899]}"
373,36,135,141,"{""type"":""Point"",""coordinates"":[20.477626496308986,44.88902265415033]}"
374,183,169,33,"{""type"":""Point"",""coordinates"":[20.40179454156489,44.749222715514556]}"
375,36,135,141,"{""type"":""Point"",""coordinates"":[20.302397259861014,44.73567813150657]}"
376,98,208,97,"{""type"":""Point"",""coordinates"":[20.393297196292288,44.821596248694945]}"
377,221,214,54,"{""type"":""Point"",""coordinates"":[20.396668758068362,44.840168530413436]}"
378,36,135,141,"{""type"":""Point"",""coordinates"":[20.442579961166903,44.88869141376534]}"
379,69,1,84,"{""type"":""Point"",""coordinates"":[20.41821116946699,44.848886824212244]}"
380,45,113,139,"{""type"":""Point"",""coordinates"":[20.51407912428302,44.800750586136495]}"
381,36,135,141,"{""type"":""Point"",""coordinates"":[20.479278663978892,44.890083973355594]}"
382,31,138,140,"{""type"":""Point"",""coordinates"":[20.279604468121153,44.87354600226025]}"
384,35,136,141,"{""type"":""Point"",""coordinates"":[20.446623433294857,44.865799409244715]}"
385,38,158,136,"{""type"":""Point"",""coordinates"":[20.497707216166553,44.73557462510995]}"
386,36,135,141,"{""type"":""Point"",""coordinates"":[20.3449863743311,44.81608469087734]}"
387,69,1,84,"{""type"":""Point"",""coordinates"":[20.49226285549328,44.85878862750337]}"
388,220,214,34,"{""type"":""Point"",""coordinates"":[20.384480185894876,44.79771797508095]}"
389,227,216,24,"{""type"":""Point"",""coordinates"":[20.363004910206655,44.825571760216626]}"
390,122,205,93,"{""type"":""Point"",""coordinates"":[20.39449823207771,44.745986263070954]}"
391,111,199,95,"{""type"":""Point"",""coordinates"":[20.47278674686038,44.75423450068765]}"
392,34,142,139,"{""type"":""Point"",""coordinates"":[20.281468762081868,44.822073562347065]}"
393,31,153,138,"{""type"":""Point"",""coordinates"":[20.359888294096272,44.821162686413025]}"
394,36,135,141,"{""type"":""Point"",""coordinates"":[20.37102187309623,44.75754661434785]}"
395,36,135,141,"{""type"":""Point"",""coordinates"":[20.55714730621551,44.86120606589695]}"
396,36,135,142,"{""type"":""Point"",""coordinates"":[20.50765951257857,44.886240378419295]}"
397,36,135,141,"{""type"":""Point"",""coordinates"":[20.528150083733046,44.87128884815345]}"
398,71,181,118,"{""type"":""Point"",""coordinates"":[20.540933191774187,44.7881225918987]}"
399,152,158,14,"{""type"":""Point"",""coordinates"":[20.34984569977842,44.85596017762135]}"
400,5,93,86,"{""type"":""Point"",""coordinates"":[20.543267952609426,44.73670243390983]}"
401,213,214,46,"{""type"":""Point"",""coordinates"":[20.447587325144703,44.74799727919331]}"
402,45,109,144,"{""type"":""Point"",""coordinates"":[20.565117049670125,44.80778720069267]}"
403,31,153,138,"{""type"":""Point"",""coordinates"":[20.51823646532504,44.74339145002154]}"
404,36,135,141,"{""type"":""Point"",""coordinates"":[20.32669103375717,44.844502034052745]}"
405,167,192,76,"{""type"":""Point"",""coordinates"":[20.429482416537127,44.79813726740111]}"
406,41,132,133,"{""type"":""Point"",""coordinates"":[20.439321036289677,44.85146470363573]}"
407,155,217,68,"{""type"":""Point"",""coordinates"":[20.418055425785738,44.76841602542329]}"
408,39,115,141,"{""type"":""Point"",""coordinates"":[20.469265743015054,44.735896666434954]}"
409,85,198,98,"{""type"":""Point"",""coordinates"":[20.471445847788864,44.74750106582225]}"
410,36,135,141,"{""type"":""Point"",""coordinates"":[20.558125255533387,44.8648667576718]}"
411,39,170,130,"{""type"":""Point"",""coordinates"":[20.392979947907858,44.790144621083066]}"
412,105,202,99,"{""type"":""Point"",""coordinates"":[20.417941283116342,44.77860589387038]}"
413,147,217,71,"{""type"":""Point"",""coordinates"":[20.4833322072834,44.88090536859135]}"
414,42,116,141,"{""type"":""Point"",""coordinates"":[20.558756724166795,44.880011468290334]}"
415,248,144,41,"{""type"":""Point"",""coordinates"":[20.405544123733822,44.80554733045243]}"
416,36,135,141,"{""type"":""Point"",""coordinates"":[20.29276302258826,44.87059633920781]}"
417,225,216,30,"{""type"":""Point"",""coordinates"":[20.456466879610105,44.886005447943425]}"
418,189,220,220,"{""type"":""Point"",""coordinates"":[20.299089188029768,44.88383409899343]}"
419,188,189,30,"{""type"":""Point"",""coordinates"":[20.406500944235276,44.7492530054767]}"
420,62,188,116,"{""type"":""Point"",""coordinates"":[20.459616638617216,44.73346628448004]}"
421,55,85,124,"{""type"":""Point"",""coordinates"":[20.531957904056277,44.74147700967164]}"
422,161,195,73,"{""type"":""Point"",""coordinates"":[20.313807377560774,44.886495615982355]}"
423,182,173,30,"{""type"":""Point"",""coordinates"":[20.383539213668854,44.839476310664466]}"
424,149,215,66,"{""type"":""Point"",""coordinates"":[20.38064158519494,44.76521293351717]}"
425,35,135,142,"{""type"":""Point"",""coordinates"":[20.29767145550352,44.75325732266683]}"
426,36,135,141,"{""type"":""Point"",""coordinates"":[20.3615826271147,44.752965816161854]}"
427,37,172,123,"{""type"":""Point"",""coordinates"":[20.486082961889352,44.73451307298324]}"
428,225,212,51,"{""type"":""Point"",""coordinates"":[20.474032589886466,44.80514950804373]}"
429,103,200,91,"{""type"":""Point"",""coordinates"":[20.332557662291745,44.862394850792114]}"
430,36,135,141,"{""type"":""Point"",""coordinates"":[20.335478188257625,44.77755295697205]}"
431,149,217,61,"{""type"":""Point"",""coordinates"":[20.381508492316456,44.76650437399873]}"
432,158,200,85,"{""type"":""Point"",""coordinates"":[20.285960394674134,44.89125016727282]}"
433,42,116,141,"{""type"":""Point"",""coordinates"":[20.56637141100796,44.877458085980074]}"
434,36,135,141,"{""type"":""Point"",""coordinates"":[20.289160239291714,44.866546927342654]}"
435,36,135,141,"{""type"":""Point"",""coordinates"":[20.33073428550211,44.74567238429572]}"
436,151,217,61,"{""type"":""Point"",""coordinates"":[20.333857782417514,44.80288424251342]}"
437,151,216,64,"{""type"":""Point"",""coordinates"":[20.285241459797252,44.79909170481084]}"
438,53,97,142,"{""type"":""Point"",""coordinates"":[20.568481476552588,44.78724330652854]}"
439,151,216,64,"{""type"":""Point"",""coordinates"":[20.478317615403263,44.87924435448982]}"
440,53,97,142,"{""type"":""Point"",""coordinates"":[20.46677030980112,44.74127092463244]}"
441,151,216,64,"{""type"":""Point"",""coordinates"":[20.472899696883044,44.87767426707085]}"
442,147,217,61,"{""type"":""Point"",""coordinates"":[20.294977415425524,44.791831195574524]}"
443,151,216,64,"{""type"":""Point"",""coordinates"":[20.278548354751656,44.796162406886424]}"
444,36,135,141,"{""type"":""Point"",""coordinates"":[20.337335455104608,44.84315444332084]}"
445,42,116,141,"{""type"":""Point"",""coordinates"":[20.562370589368314,44.83738403867422]}"
446,172,161,25,"{""type"":""Point"",""coordinates"":[20.508878601566742,44.816476171547365]}"
447,41,132,144,"{""type"":""Point"",""coordinates"":[20.510233340314606,44.799665061334736]}"
448,222,214,36,"{""type"":""Point"",""coordinates"":[20.35283067107085,44.85206145918404]}"
449,36,135,141,"{""type"":""Point"",""coordinates"":[20.361092201746807,44.75126717662513]}"
450,197,177,202,"{""type"":""Point"",""coordinates"":[20.356134236878496,44.88341993479826]}"
451,36,135,142,"{""type"":""Point"",""coordinates"":[20.424925278748074,44.85328027373673]}"
452,36,135,141,"{""type"":""Point"",""coordinates"":[20.316857929373487,44.77053994579861]}"
453,244,168,40,"{""type"":""Point"",""coordinates"":[20.291484309017676,44.7752984512122]}"
454,59,78,136,"{""type"":""Point"",""coordinates"":[20.51803202383712,44.75054830828889]}"
455,151,216,64,"{""type"":""Point"",""coordinates"":[20.28300828282553,44.79727825779711]}"
456,43,169,131,"{""type"":""Point"",""coordinates"":[20.528618487431494,44.754255429803735]}"
457,223,214,38,"{""type"":""Point"",""coordinates"":[20.48229896384749,44.79752484126266]}"
458,36,135,141,"{""type"":""Point"",""coordinates"":[20.299924261892315,44.85773762784289]}"
459,37,100,109,"{""type"":""Point"",""coordinates"":[20.287354476113865,44.834238031845416]}"
460,106,199,99,"{""type"":""Point"",""coordinates"":[20.293066946524252,44.821876182654044]}"
461,205,178,34,"{""type"":""Point"",""coordinates"":[20.411870749195884,44.80816895407437]}"
462,225,214,32,"{""type"":""Point"",""coordinates"":[20.438101593066364,44.83474148442862]}"
463,225,216,28,"{""type"":""Point"",""coordinates"":[20.381719532746114,44.837024351778304]}"
464,40,133,143,"{""type"":""Point"",""coordinates"":[20.508088909914402,44.88449650361198]}"
465,179,134,17,"{""type"":""Point"",""coordinates"":[20.487918075996923,44.820688289819074]}"
466,36,135,141,"{""type"":""Point"",""coordinates"":[20.450960913715235,44.861048740752814]}"
467,36,135,141,"{""type"":""Point"",""coordinates"":[20.400745313886322,44.76083121006408]}"
468,106,207,89,"{""type"":""Point"",""coordinates"":[20.570528755039582,44.87686300460911]}"
469,36,135,141,"{""type"":""Point"",""coordinates"":[20.31181786573244,44.7705823169949]}"
470,40,158,128,"{""type"":""Point"",""coordinates"":[20.447152429230613,44.78851222714819]}"
471,36,134,140,"{""type"":""Point"",""coordinates"":[20.547621925951102,44.84253078959055]}"
472,223,217,46,"{""type"":""Point"",""coordinates"":[20.465019886006157,44.84936375923872]}"
473,60,150,55,"{""type"":""Point"",""coordinates"":[20.55806341443076,44.76550463015948]}"
474,36,135,141,"{""type"":""Point"",""coordinates"":[20.320659634601373,44.80617895787583]}"
475,151,216,64,"{""type"":""Point"",""coordinates"":[20.321389750332763,44.797463293695685]}"
476,38,135,140,"{""type"":""Point"",""coordinates"":[20.29273576531306,44.76208640398736]}"
477,64,18,87,"{""type"":""Point"",""coordinates"":[20.568664579407045,44.84344639839573]}"
478,37,135,137,"{""type"":""Point"",""coordinates"":[20.365710386360576,44.73562734515306]}"
479,33,136,142,"{""type"":""Point"",""coordinates"":[20.494193443378883,44.87166314205271]}"
480,36,135,141,"{""type"":""Point"",""coordinates"":[20.32748074508258,44.8481229436494]}"
481,152,214,67,"{""type"":""Point"",""coordinates"":[20.442576249570553,44.73502856352242]}"
482,250,138,49,"{""type"":""Point"",""coordinates"":[20.41233340640619,44.83288536182017]}"
483,36,135,141,"{""type"":""Point"",""coordinates"":[20.425451798891253,44.85266054992707]}"
484,36,135,141,"{""type"":""Point"",""coordinates"":[20.494187602726473,44.89018987806431]}"
485,222,214,41,"{""type"":""Point"",""coordinates"":[20.47690346549497,44.85908110094282]}"
486,69,1,84,"{""type"":""Point"",""coordinates"":[20.529985943987764,44.82728318278196]}"
487,36,135,141,"{""type"":""Point"",""coordinates"":[20.316894314247524,44.80501391353229]}"
488,39,172,125,"{""type"":""Point"",""coordinates"":[20.45100188968289,44.759312406318045]}"
489,113,171,51,"{""type"":""Point"",""coordinates"":[20.435604701237395,44.747078613089066]}"
490,36,135,141,"{""type"":""Point"",""coordinates"":[20.421408807873075,44.88155608692215]}"
491,45,116,141,"{""type"":""Point"",""coordinates"":[20.382164120329627,44.73418340367191]}"
492,36,135,141,"{""type"":""Point"",""coordinates"":[20.296750145003244,44.77286417302551]}"
493,42,117,141,"{""type"":""Point"",""coordinates"":[20.541395327385768,44.885631500189646]}"
494,53,97,142,"{""type"":""Point"",""coordinates"":[20.571189371074933,44.816270022845394]}"
495,51,182,122,"{""type"":""Point"",""coordinates"":[20.430771978133492,44.780012043074144]}"
496,61,191,114,"{""type"":""Point"",""coordinates"":[20.410864112117693,44.793219289881215]}"
497,42,117,141,"{""type"":""Point"",""coordinates"":[20.54801189213739,44.88003137993901]}"
498,35,135,142,"{""type"":""Point"",""coordinates"":[20.310124227042333,44.83036277336995]}"
499,36,135,141,"{""type"":""Point"",""coordinates"":[20.54154367326691,44.84961859008598]}"
500,152,215,67,"{""type"":""Point"",""coordinates"":[20.350463114482512,44.8070040148053]}"
501,76,124,25,"{""type"":""Point"",""coordinates"":[20.525671177542673,44.79960913868087]}"
502,68,0,83,"{""type"":""Point"",""coordinates"":[20.346406635123685,44.76490587384966]}"
503,52,96,141,"{""type"":""Point"",""coordinates"":[20.511318859256207,44.75166439520552]}"
504,69,1,84,"{""type"":""Point"",""coordinates"":[20.362774833537923,44.874664698585136]}"
505,70,190,110,"{""type"":""Point"",""coordinates"":[20.361301652711752,44.769244105550364]}"
506,97,205,106,"{""type"":""Point"",""coordinates"":[20.562231202996273,44.75915750466827]}"
507,62,190,116,"{""type"":""Point"",""coordinates"":[20.557858252023983,44.76752856466106]}"
508,36,135,141,"{""type"":""Point"",""coordinates"":[20.547558932737065,44.865068957077476]}"
509,223,216,29,"{""type"":""Point"",""coordinates"":[20.47813791237764,44.78077638623541]}"
510,151,216,64,"{""type"":""Point"",""coordinates"":[20.31413961464884,44.795715531224445]}"
511,164,75,67,"{""type"":""Point"",""coordinates"":[20.42943076040136,44.79481183573437]}"
512,156,213,69,"{""type"":""Point"",""coordinates"":[20.289905923475352,44.79009211957944]}"
513,36,135,141,"{""type"":""Point"",""coordinates"":[20.277707716612227,44.836278031635004]}"
514,32,137,136,"{""type"":""Point"",""coordinates"":[20.517919651374346,44.853263872395026]}"
515,36,135,141,"{""type"":""Point"",""coordinates"":[20.321299471721403,44.75103808365055]}"
516,166,196,198,"{""type"":""Point"",""coordinates"":[20.411347330053506,44.88345139800593]}"
517,224,219,32,"{""type"":""Point"",""coordinates"":[20.379725625419194,44.793880297816635]}"
518,36,135,141,"{""type"":""Point"",""coordinates"":[20.50436814368873,44.87152108223821]}"
519,68,183,113,"{""type"":""Point"",""coordinates"":[20.43528557948354,44.75204725608169]}"
520,39,152,139,"{""type"":""Point"",""coordinates"":[20.528623764291652,44.74998124881489]}"
521,202,192,31,"{""type"":""Point"",""coordinates"":[20.494728586700944,44.83820709821699]}"
522,33,142,146,"{""type"":""Point"",""coordinates"":[20.53522690621038,44.8839519466207]}"
523,220,217,37,"{""type"":""Point"",""coordinates"":[20.44343034506067,44.7939876041772]}"
524,36,133,142,"{""type"":""Point"",""coordinates"":[20.296933450905573,44.73073473547401]}"
525,51,171,119,"{""type"":""Point"",""coordinates"":[20.437369967642386,44.75287979078639]}"
526,200,114,28,"{""type"":""Point"",""coordinates"":[20.462413640989435,44.792622159373934]}"
527,31,153,138,"{""type"":""Point"",""coordinates"":[20.297346513938443,44.78211307076058]}"
528,66,188,114,"{""type"":""Point"",""coordinates"":[20.4144939103107,44.791758291800626]}"
529,36,135,141,"{""type"":""Point"",""coordinates"":[20.40170545089994,44.880612685337724]}"
530,58,136,143,"{""type"":""Point"",""coordinates"":[20.38852129354455,44.882201227670784]}"
531,117,173,45,"{""type"":""Point"",""coordinates"":[20.525796469257312,44.84858576132709]}"
532,103,202,88,"{""type"":""Point"",""coordinates"":[20.364298452310262,44.82890161062533]}"
533,151,216,64,"{""type"":""Point"",""coordinates"":[20.3848642477214,44.77319641032898]}"
534,245,147,46,"{""type"":""Point"",""coordinates"":[20.42725081751165,44.808299366288836]}"
535,36,135,141,"{""type"":""Point"",""coordinates"":[20.563383393413545,44.864317286662256]}"
536,164,155,7,"{""type"":""Point"",""coordinates"":[20.40426027131551,44.81905673355373]}"
537,114,202,77,"{""type"":""Point"",""coordinates"":[20.318906527194255,44.811682979832405]}"
538,69,1,84,"{""type"":""Point"",""coordinates"":[20.36788825953122,44.87457332940732]}"
539,36,135,141,"{""type"":""Point"",""coordinates"":[20.305913051930688,44.825453995950205]}"
540,36,135,141,"{""type"":""Point"",""coordinates"":[20.29352277547356,44.849208790066164]}"
541,95,153,36,"{""type"":""Point"",""coordinates"":[20.359195887694373,44.87590746961169]}"
542,36,135,141,"{""type"":""Point"",""coordinates"":[20.545059706748376,44.86669499801874]}"
543,36,135,141,"{""type"":""Point"",""coordinates"":[20.323757809040476,44.84091406711094]}"
544,66,53,127,"{""type"":""Point"",""coordinates"":[20.525286343609423,44.74745604571372]}"
545,36,135,141,"{""type"":""Point"",""coordinates"":[20.436494798283547,44.7643992831545]}"
546,43,116,141,"{""type"":""Point"",""coordinates"":[20.543138797381772,44.88432177768874]}"
547,132,191,64,"{""type"":""Point"",""coordinates"":[20.449124886500908,44.78226011784954]}"
548,225,215,30,"{""type"":""Point"",""coordinates"":[20.43196717362479,44.82946056290882]}"
549,69,1,84,"{""type"":""Point"",""coordinates"":[20.36656397881181,44.87420294286677]}"
550,69,1,84,"{""type"":""Point"",""coordinates"":[20.498088500569505,44.82673638070567]}"
551,36,135,141,"{""type"":""Point"",""coordinates"":[20.367099684764806,44.74969805017916]}"
552,36,135,141,"{""type"":""Point"",""coordinates"":[20.354078591527358,44.7888530652039]}"
553,219,214,53,"{""type"":""Point"",""coordinates"":[20.511012952956076,44.81347955994309]}"
554,241,197,34,"{""type"":""Point"",""coordinates"":[20.402670661764695,44.83456065294323]}"
555,69,1,84,"{""type"":""Point"",""coordinates"":[20.487837326332244,44.863669992112435]}"
556,36,135,141,"{""type"":""Point"",""coordinates"":[20.353859782470664,44.78882849925032]}"
557,31,153,138,"{""type"":""Point"",""coordinates"":[20.507031456151026,44.734981419210364]}"
558,36,135,141,"{""type"":""Point"",""coordinates"":[20.454729119304883,44.84338027995489]}"
559,36,135,141,"{""type"":""Point"",""coordinates"":[20.28539415016605,44.85353555010744]}"
560,48,144,140,"{""type"":""Point"",""coordinates"":[20.35792968320509,44.781035113705755]}"
561,103,205,90,"{""type"":""Point"",""coordinates"":[20.556931810164063,44.75404099431047]}"
562,36,135,141,"{""type"":""Point"",""coordinates"":[20.282733476365504,44.8685511805743]}"
563,28,156,138,"{""type"":""Point"",""coordinates"":[20.35486351844588,44.77348485564009]}"
564,42,116,141,"{""type"":""Point"",""coordinates"":[20.352884520903125,44.73338915734208]}"
565,176,104,26,"{""type"":""Point"",""coordinates"":[20.489515578986072,44.84087912078439]}"
566,31,153,138,"{""type"":""Point"",""coordinates"":[20.295159478460153,44.7402012570643]}"
567,107,202,104,"{""type"":""Point"",""coordinates"":[20.552875681392123,44.73439370432776]}"
568,36,134,140,"{""type"":""Point"",""coordinates"":[20.32274801710037,44.8914379260253]}"
569,36,135,141,"{""type"":""Point"",""coordinates"":[20.465043570304463,44.85896905581084]}"
570,69,1,84,"{""type"":""Point"",""coordinates"":[20.493861428283367,44.827660415566264]}"
571,151,216,64,"{""type"":""Point"",""coordinates"":[20.53894938426047,44.84528577614953]}"
572,30,153,138,"{""type"":""Point"",""coordinates"":[20.31005577632732,44.80084806160581]}"
573,151,216,64,"{""type"":""Point"",""coordinates"":[20.322363108692652,44.80088062152219]}"
574,104,204,93,"{""type"":""Point"",""coordinates"":[20.552086600314162,44.76852697336108]}"
575,32,71,68,"{""type"":""Point"",""coordinates"":[20.333195666576238,44.88457935926629]}"
576,39,132,145,"{""type"":""Point"",""coordinates"":[20.54141370358475,44.87436138601316]}"
577,34,128,133,"{""type"":""Point"",""coordinates"":[20.33377733194737,44.75590447654568]}"
578,74,1,81,"{""type"":""Point"",""coordinates"":[20.39068712129778,44.78955315563414]}"
579,225,213,31,"{""type"":""Point"",""coordinates"":[20.395980765019555,44.84387577427671]}"
580,29,156,131,"{""type"":""Point"",""coordinates"":[20.35274564339524,44.79424895744924]}"
581,34,156,140,"{""type"":""Point"",""coordinates"":[20.28988105447579,44.888861320899885]}"
582,195,97,11,"{""type"":""Point"",""coordinates"":[20.407831567914418,44.83587709271352]}"
583,230,128,51,"{""type"":""Point"",""coordinates"":[20.40386815302159,44.81123934425538]}"
584,105,203,91,"{""type"":""Point"",""coordinates"":[20.32367462857618,44.80775486365837]}"
585,36,135,141,"{""type"":""Point"",""coordinates"":[20.32031354160219,44.7494983914782]}"
586,155,217,66,"{""type"":""Point"",""coordinates"":[20.337195317830385,44.794430964239275]}"
587,132,125,8,"{""type"":""Point"",""coordinates"":[20.46317879232619,44.80424870513282]}"
588,44,115,144,"{""type"":""Point"",""coordinates"":[20.44785485937713,44.85243742508913]}"
589,36,135,141,"{""type"":""Point"",""coordinates"":[20.423142719877543,44.87407423860716]}"
590,151,216,64,"{""type"":""Point"",""coordinates"":[20.47579015463472,44.878859509036346]}"
591,230,150,45,"{""type"":""Point"",""coordinates"":[20.41778874272004,44.78778946664885]}"
592,28,80,104,"{""type"":""Point"",""coordinates"":[20.56045324988442,44.83963832135687]}"
593,26,149,111,"{""type"":""Point"",""coordinates"":[20.31776134193024,44.73347143573758]}"
594,70,186,115,"{""type"":""Point"",""coordinates"":[20.530063011489652,44.78473986999177]}"
595,36,135,141,"{""type"":""Point"",""coordinates"":[20.356592685238518,44.78522950740089]}"
596,214,205,45,"{""type"":""Point"",""coordinates"":[20.356991007286684,44.84697885522389]}"
597,223,216,30,"{""type"":""Point"",""coordinates"":[20.371751592806618,44.80693039411219]}"
598,222,213,23,"{""type"":""Point"",""coordinates"":[20.464972830009682,44.79400058476751]}"
599,32,137,142,"{""type"":""Point"",""coordinates"":[20.442162957763106,44.87540423756834]}"
600,43,146,144,"{""type"":""Point"",""coordinates"":[20.33489693092041,44.73662858294566]}"
601,153,216,62,"{""type"":""Point"",""coordinates"":[20.444692171657948,44.84898317787556]}"
602,225,216,27,"{""type"":""Point"",""coordinates"":[20.47930701008714,44.85628606769036]}"
603,70,183,121,"{""type"":""Point"",""coordinates"":[20.540773531440507,44.762746559060844]}"
604,36,135,141,"{""type"":""Point"",""coordinates"":[20.402190471627915,44.86530232559173]}"
605,40,144,144,"{""type"":""Point"",""coordinates"":[20.548879194782774,44.80469344849029]}"
